Episode,Timestep,Reward,Loss,WinRate,Epsilon
441,8868,-8.00,4.506039,37.41,0.0100
442,8888,-20.00,4.236655,37.33,0.0100
443,8906,-19.00,4.725377,37.25,0.0100
444,8935,66.33,4.370268,37.39,0.0100
445,8962,65.50,4.207358,37.53,0.0100
446,8985,-20.00,4.196982,37.44,0.0100
447,8994,-27.00,4.696752,37.36,0.0100
448,9010,56.00,4.347787,37.50,0.0100
449,9032,-18.00,4.424305,37.42,0.0100
450,9064,64.17,4.319137,37.56,0.0100
451,9075,-22.00,5.326513,37.47,0.0100
452,9096,-18.00,4.785303,37.39,0.0100
453,9105,-27.00,4.579214,37.31,0.0100
454,9114,-24.00,4.221650,37.22,0.0100
455,9137,-13.00,4.285810,37.14,0.0100
456,9158,-20.00,4.708465,37.06,0.0100
457,9179,-16.00,4.659444,36.98,0.0100
458,9192,-23.00,4.915406,36.90,0.0100
459,9209,-17.00,4.616959,36.82,0.0100
460,9235,68.00,4.612627,36.96,0.0100
461,9260,-6.00,4.480045,36.88,0.0100
462,9278,-15.00,4.419140,36.80,0.0100
463,9304,67.33,4.924036,36.93,0.0100
464,9331,65.83,4.882289,37.07,0.0100
465,9358,59.33,4.904144,37.20,0.0100
466,9377,-19.00,5.376339,37.12,0.0100
467,9406,68.00,4.736132,37.26,0.0100
468,9422,-20.00,4.709622,37.18,0.0100
469,9444,-16.00,5.025976,37.10,0.0100
470,9467,-15.00,5.184361,37.02,0.0100
471,9490,65.83,5.013614,37.15,0.0100
472,9512,-20.00,5.222997,37.08,0.0100
473,9536,-17.00,5.419161,37.00,0.0100
474,9554,-6.00,5.334442,36.92,0.0100
475,9575,-7.00,4.887164,36.84,0.0100
476,9595,60.33,5.106655,36.97,0.0100
477,9614,-21.00,5.638646,36.90,0.0100
478,9639,-10.00,4.823807,36.82,0.0100
479,9661,60.00,5.575229,36.95,0.0100
480,9685,65.00,4.762550,37.08,0.0100
481,9704,-15.00,5.355465,37.01,0.0100
482,9733,66.83,5.313750,37.14,0.0100
483,9755,-14.00,4.948324,37.06,0.0100
484,9762,-28.00,5.057268,36.98,0.0100
485,9790,68.50,4.962030,37.11,0.0100
486,9817,63.50,5.175585,37.24,0.0100
487,9834,-10.00,5.050543,37.17,0.0100
488,9859,62.17,5.377577,37.30,0.0100
489,9878,-21.00,4.496125,37.22,0.0100
490,9900,-18.00,5.501732,37.14,0.0100
491,9928,66.83,4.893273,37.27,0.0100
492,9948,-21.00,4.923620,37.20,0.0100
493,9972,-8.00,4.804665,37.12,0.0100
494,9997,61.83,5.381766,37.25,0.0100
495,10022,-6.00,4.826707,37.17,0.0100
496,10043,-9.00,5.308101,37.10,0.0100
497,10064,-14.00,4.721498,37.02,0.0100
498,10084,62.17,5.918858,37.15,0.0100
499,10111,64.33,5.756684,37.27,0.0100
500,10135,61.50,5.949137,37.40,0.0100
501,10157,-14.00,5.244131,37.33,0.0100
502,10170,-23.00,5.107970,37.25,0.0100
503,10183,54.83,5.057405,37.38,0.0100
504,10202,-17.00,5.709034,37.30,0.0100
505,10228,63.83,5.205596,37.43,0.0100
506,10250,-16.00,5.036582,37.35,0.0100
507,10275,-15.00,5.756045,37.28,0.0100
508,10300,64.83,5.368290,37.40,0.0100
509,10322,-16.00,5.772126,37.33,0.0100
510,10351,64.50,5.470433,37.45,0.0100
511,10373,-16.00,5.401297,37.38,0.0100
512,10391,-21.00,5.267977,37.30,0.0100
513,10416,-8.00,5.017735,37.23,0.0100
514,10436,-9.00,5.289210,37.16,0.0100
515,10458,-16.00,5.045357,37.09,0.0100
516,10478,-18.00,5.419201,37.02,0.0100
517,10506,-3.00,5.759118,36.94,0.0100
518,10534,63.50,5.477372,37.07,0.0100
519,10550,-18.00,5.915111,36.99,0.0100
520,10572,-7.00,5.580724,36.92,0.0100
521,10603,67.33,5.523507,37.04,0.0100
522,10622,-19.00,5.278330,36.97,0.0100
523,10638,-22.00,5.025265,36.90,0.0100
524,10658,-16.00,5.302873,36.83,0.0100
525,10676,-19.00,5.122692,36.76,0.0100
526,10690,57.33,5.967576,36.88,0.0100
527,10711,61.50,4.967096,37.00,0.0100
528,10733,-18.00,5.768968,36.93,0.0100
529,10747,57.33,5.808562,37.05,0.0100
530,10776,-9.00,5.694019,36.98,0.0100
531,10801,63.83,5.580163,37.10,0.0100
532,10820,-8.00,5.574459,37.03,0.0100
533,10844,-8.00,5.553603,36.96,0.0100
534,10851,-28.00,5.436443,36.89,0.0100
535,10868,-19.00,5.861866,36.82,0.0100
536,10891,61.17,5.132604,36.94,0.0100
537,10924,63.33,5.590587,37.06,0.0100
538,10954,61.17,5.570445,37.17,0.0100
539,10980,-4.00,5.437170,37.11,0.0100
540,11008,62.67,5.986898,37.22,0.0100
541,11030,-18.00,5.130432,37.15,0.0100
542,11054,-17.00,5.395732,37.08,0.0100
543,11083,67.33,5.527753,37.20,0.0100
544,11099,-16.00,6.000494,37.13,0.0100
545,11123,-19.00,5.438302,37.06,0.0100
546,11152,59.83,5.866184,37.18,0.0100
547,11172,-19.00,5.709210,37.11,0.0100
548,11188,58.83,5.460501,37.23,0.0100
549,11211,-20.00,5.663468,37.16,0.0100
550,11232,-16.00,5.586517,37.09,0.0100
551,11260,69.67,5.693570,37.21,0.0100
552,11277,-23.00,5.438497,37.14,0.0100
553,11286,-27.00,5.462844,37.07,0.0100
554,11311,62.83,5.911448,37.18,0.0100
555,11334,-9.00,5.373537,37.12,0.0100
556,11349,-21.00,5.732158,37.05,0.0100
557,11359,54.33,5.732266,37.16,0.0100
558,11383,59.00,5.487317,37.28,0.0100
559,11402,-21.00,5.864654,37.21,0.0100
560,11420,-12.00,6.103361,37.14,0.0100
561,11448,-7.00,6.148654,37.08,0.0100
562,11457,-27.00,5.477511,37.01,0.0100
563,11485,70.50,5.541800,37.12,0.0100
564,11501,-22.00,6.274794,37.06,0.0100
565,11529,-9.00,5.547167,36.99,0.0100
566,11550,-18.00,5.988386,36.93,0.0100
567,11578,66.67,5.727388,37.04,0.0100
568,11600,-7.00,5.806870,36.97,0.0100
569,11628,-7.00,5.280301,36.91,0.0100
570,11651,-19.00,6.197707,36.84,0.0100
571,11667,-21.00,6.583625,36.78,0.0100
572,11692,63.00,6.001650,36.89,0.0100
573,11719,66.50,5.863124,37.00,0.0100
574,11737,59.50,5.676139,37.11,0.0100
575,11763,-19.00,5.954949,37.04,0.0100
576,11787,-4.00,6.511294,36.98,0.0100
577,11809,61.67,6.162477,37.09,0.0100
578,11820,-15.00,5.973539,37.02,0.0100
579,11845,67.67,5.719779,37.13,0.0100
580,11862,-22.00,5.780830,37.07,0.0100
581,11890,69.00,6.092670,37.18,0.0100
582,11907,-20.00,5.533804,37.11,0.0100
583,11935,65.50,6.457326,37.22,0.0100
584,11957,-11.00,6.080788,37.16,0.0100
585,11979,-20.00,5.606711,37.09,0.0100
586,12004,67.33,5.780552,37.20,0.0100
587,12028,64.00,5.978959,37.31,0.0100
588,12050,-20.00,5.721308,37.24,0.0100
